Especie,Bosque,DAI,SOMBRA,SOL
MOMLES,0.33,1,1,0
VIRSOL,0.33,2.67,1,0
MYIMIN,3.33,2,0,0
CARPUS,7,15.67,4.33,7
SETCIT,0.33,3.67,3,1.33
SETVIR,11.67,19,10,5
DUMCAR,2,2.67,1,0.67
CHLCAN,0.33,0.33,0.33,0
SETMAG,7,8,7,3.33
VIRGIL,0.33,3,0,0
ARRAUR,0,0.33,0,0
SALATR,0.67,1,1.67,2
CAMHEM,0,0.67,0,0
BASRUF,2,3,0.33,0.67
VERCYA,1,0.67,1.33,0
THADOL,0,0.67,0,0
EUPEXI,0.33,2,0.67,0
TIAOLI,1.67,2.67,1,2
SETPEN,2.67,6,6.67,0
OREPER,0,4.33,0,0.33
TROAED,0.67,3,0.67,3.67
PSAMON,2,2.33,6.33,1.67
PSAWAG,0.33,23,8.33,0.33
ICTGUL,0,0,0.67,0
PSIMOR,1,0,3.67,2
CYAMOL,1.67,0,0,0
AMARUT,1.67,0,1,0.33
PHASTR,0.33,0.33,0,0
HYLLEU,4,3,0.33,0.67
PIACAY,0,0.33,0.33,0
AMACYA,0,0,0.33,0.67
EMPIDONAX,1,0.67,1,0.33
TITSEM,1.67,1.33,4.33,0
SETRUT,0,1.33,1.67,0
VERCHR,2.67,2.33,1.67,1
MNIVAR,3,6,2,0
TURGRA,0.33,3.33,2,0.33
VIRPHI,4,5.33,2.33,0.67
DIVDIV,0,2,12,1
SETPIT,0.67,1,0.67,0
VIRFLS,0,0.67,0,0
ICTGAL,0,1.33,1,0
PHELUD,0,3,0,0
MELAUR,1.33,3.67,7,1.33
AMATZA,0,0,0,0
CANMOD,0.67,0,0,0
THRRUF,0.33,1.67,0,0
GLABRA,0.33,3,2.33,0.33
PIROLI,0,0.33,0,0
MYIARCHUS,0.33,3.67,2,0.67
SITGRI,0.33,3,0.33,0
MELFOR,2.33,0.33,0.33,0
ATLALB,0.33,1.67,0,1.33
AIMRUF,0,0,0,0.33
MYIPIC,0,0.33,0,0
HENLEU,0.67,0.67,0,0
FALSPA,0,0,0.33,0
EUPHIR,0,0.67,1.33,0
SETAME,0,0,0.67,0
SETPET,0,0.33,0,0
ORTVET,0,0.67,0,0
VIRFLAVIFRONS,1,1,2.67,0
ABEABE,0.33,0,0,0
VIRLEU,0.33,0,0,0
POESYL,0.67,0,0,0
THRABA,0,0,0,0
AULPRA,1.33,0,0.33,0
SPHVAR,0.33,0.67,0.33,0
HELVER,0.67,0.67,0,0
VIRGRI,0.33,1.67,0,0
CYACYA,0.33,0,0,0
PASCIR,0.33,0,0.33,0
TOLSUL,0.33,0.33,0,0
SEIAUR,0.33,0.67,1.33,1.33
GEOPOL,0.67,0,0,0
RAMSUL,0,0,1.33,0.33
QUIMEX,0,0.67,2.67,0.33
HYLMUS,0.33,0.67,1.67,0.33
EUGFUL,0,0.33,0,0
PIRRUB,0,1.67,0.67,0
SALMAX,0,3,0.33,1
GLYSPI,0,0,0.67,0
AMAALB,0,6.67,1,0
CHLFLA,0.33,0,0,0
CONTOPUS,0,0.33,0.33,0
LEPSOU,0,0,0.67,0
CYAMEL,1,2.33,0,3.33
MYAUNI,0.33,0,0,0
MIOOLE,1.67,3,0.33,0
VIRFLAVORIDIS,0,0,0.33,0
PITSUL,0,0,0.67,0
RUPMAG,0,0,0.33,0
TROCOL,0,0.33,0,0
HABFUS,0,0.33,0.33,0
TILDUP,0.33,0,0,0
CARNOT,0,0.67,0,0
PIRLEU,0,0.33,0,0
COLRUB,0,0.67,0,0.33
PATFLA,0,0.33,0,0
PHEMAC,0.67,0.67,0,0
ZENASI,0,0,0,0.33
MIMGIL,0,0,0,0
BUTBRA,0,0.33,0,0
MEGPIT,0,0,0.67,0
SPOTUR,0,0,0,0
PTETUR,0,0.33,0,0
CORATR,0,0.33,0,0
MELBIA,0,0,0,0
XIPFLA,0,0.33,0.33,0
PSIRUB,0,0,0,0
PACAGL,0,0,0.67,0
CAMGUA,0,0,0.33,0
CYCGUJ,0.33,0,0,0
HYCALB,0.33,0,0,0
AMBHOL,0.33,0,0,0
ICTVIR,0.33,0,0,0
ARRBRU,0.33,0,0,0
VOLJAC,0,0.67,0,0
EUPELE,0,0,0,0.33
GEOTRI,0,0,0,0.33
ICTCHR,0,0.33,0,0
