Sistema,Riqueza,Migratorias,Residentes,BP,BS
Bosque,4.67,3.00,1.67,0.00,4.67
Bosque,2.67,1.33,1.33,0.67,2.00
Bosque,7.00,4.67,2.33,0.33,6.67
Bosque,2.33,2.00,0.33,0.00,2.33
Bosque,3.67,2.33,1.33,0.33,3.33
Bosque,3.67,2.33,1.33,0.67,2.33
Bosque,2.00,0.67,1.33,0.33,1.67
Bosque,4.33,2.33,2.00,0.33,4.00
Bosque,2.67,1.33,1.33,0.00,2.67
Bosque,5.33,2.33,3.00,0.33,4.33
Bosque,5.33,2.33,3.00,0.67,4.00
Bosque,4.67,3.67,1.00,0.33,4.00
Bosque,6.67,3.00,3.67,0.67,5.33
Bosque,6.00,3.67,2.33,0.33,5.33
Bosque,3.00,2.33,0.67,0.00,3.00
DAIB,4.00,2.33,1.67,0.00,3.67
DAIB,5.33,3.33,2.00,0.33,5.00
DAIB,5.33,4.33,1.00,0.00,5.00
DAIB,5.33,3.33,2.00,0.67,4.00
DAIB,2.67,2.00,0.67,0.00,2.67
DAIB,1.67,1.00,0.67,0.00,1.67
DAIB,4.00,2.00,2.00,0.33,3.67
DAIB,2.33,1.33,1.00,0.33,1.33
DAIB,6.67,3.67,3.00,0.33,5.67
DAIB,7.67,4.67,3.00,0.67,6.67
DAIB,3.33,2.67,0.67,0.33,3.00
DAIB,4.33,2.67,1.67,0.00,4.00
DAIB,4.00,2.33,1.67,0.67,3.33
DAIB,2.33,1.00,1.33,0.33,2.00
DAIB,4.67,3.00,1.67,0.33,4.00
DAIC,4.67,3.00,1.67,0.00,4.00
DAIC,3.33,1.33,2.00,0.00,2.33
DAIC,0.67,0.33,0.33,0.00,0.33
DAIC,6.00,3.33,2.67,0.33,5.33
DAIC,4.67,2.67,2.00,0.67,3.67
DAIC,6.67,4.67,2.00,0.33,6.00
DAIC,1.67,1.00,0.67,0.00,1.00
DAIC,3.33,1.33,2.00,0.00,2.67
DAIC,4.00,3.33,0.67,0.33,3.67
DAIC,5.00,2.00,3.00,1.33,2.67
DAIC,4.33,2.33,2.00,0.67,3.00
DAIC,6.67,4.00,2.67,0.00,5.67
DAIC,7.33,5.67,1.67,0.00,7.00
DAIC,5.33,2.33,3.00,0.33,4.67
DAIC,1.33,1.00,0.33,0.00,1.00
SOMBRA,2.67,1.33,1.33,0.33,1.00
SOMBRA,1.67,0.67,1.00,0.33,1.33
SOMBRA,6.00,3.00,3.00,0.33,5.00
SOMBRA,4.33,2.67,1.67,0.00,3.33
SOMBRA,10.00,4.67,5.33,0.67,8.67
SOMBRA,7.33,5.00,2.33,0.00,6.00
SOMBRA,1.67,1.00,0.67,0.00,1.33
SOMBRA,5.33,4.00,1.33,0.00,5.00
SOMBRA,4.00,2.00,2.00,0.00,2.67
SOMBRA,7.33,5.67,1.67,0.33,6.67
SOMBRA,3.67,2.33,1.33,0.00,3.33
SOMBRA,4.67,1.33,3.33,0.00,4.00
SOMBRA,5.33,3.33,2.00,0.33,4.67
SOMBRA,2.67,0.67,2.00,0.00,2.33
SOMBRA,9.00,5.00,4.00,0.00,8.00
SOMBRA,6.00,0.67,5.33,0.00,4.67
SOL,3.00,0.67,2.33,0.67,1.67
SOL,1.00,0.67,0.33,0.00,0.67
SOL,1.33,1.00,0.33,0.00,1.00
SOL,0.33,0.33,0.00,0.00,0.33
SOL,2.67,1.00,1.67,0.00,1.67
SOL,0.67,0.67,0.00,0.00,0.67
SOL,3.00,1.33,1.67,0.67,2.00
SOL,3.67,1.00,2.67,0.33,2.33
SOL,3.00,2.67,0.33,0.33,2.67
SOL,5.67,3.67,2.00,0.00,4.00
SOL,1.00,0.33,0.67,0.00,0.67
SOL,3.33,3.00,0.33,0.00,3.00
SOL,4.33,1.67,2.67,0.67,2.67
SOL,0.33,0.00,0.33,0.00,0.00
