Sistema,Migratorias
Bosque,3
Bosque,1.33
Bosque,4.67
Bosque,2
Bosque,2.33
Bosque,2.33
Bosque,0.67
Bosque,2.33
Bosque,1.33
Bosque,2.33
Bosque,2.33
Bosque,3.67
Bosque,3
Bosque,3.67
Bosque,2.33
DAIB,2.33
DAIB,3.33
DAIB,4.33
DAIB,3.33
DAIB,2
DAIB,1
DAIB,2
DAIB,1.33
DAIB,3.67
DAIB,4.67
DAIB,2.67
DAIB,2.67
DAIB,2.33
DAIB,1
DAIB,3
DAIC,3
DAIC,1.33
DAIC,0.33
DAIC,3.33
DAIC,2.67
DAIC,4.67
DAIC,1
DAIC,1.33
DAIC,3.33
DAIC,2
DAIC,2.33
DAIC,4
DAIC,5.67
DAIC,2.33
DAIC,1
SOMBRA,1.33
SOMBRA,0.67
SOMBRA,3
SOMBRA,2.67
SOMBRA,4.67
SOMBRA,5
SOMBRA,1
SOMBRA,4
SOMBRA,2
SOMBRA,5.67
SOMBRA,2.33
SOMBRA,1.33
SOMBRA,3.33
SOMBRA,0.67
SOMBRA,5
SOMBRA,0.67
SOL,0.67
SOL,0.67
SOL,1
SOL,0.33
SOL,1
SOL,0.67
SOL,1.33
SOL,1
SOL,2.67
SOL,3.67
SOL,0.33
SOL,3
SOL,1.67
SOL,0
