Sistema,Residentes
Bosque,1.67
Bosque,1.33
Bosque,2.33
Bosque,0.33
Bosque,1.33
Bosque,1.33
Bosque,1.33
Bosque,2
Bosque,1.33
Bosque,3
Bosque,3
Bosque,1
Bosque,3.67
Bosque,2.33
Bosque,0.67
DAIB,1.67
DAIB,2
DAIB,1
DAIB,2
DAIB,0.67
DAIB,0.67
DAIB,2
DAIB,1
DAIB,3
DAIB,3
DAIB,0.67
DAIB,1.67
DAIB,1.67
DAIB,1.33
DAIB,1.67
DAIC,1.67
DAIC,2
DAIC,0.33
DAIC,2.67
DAIC,2
DAIC,2
DAIC,0.67
DAIC,2
DAIC,0.67
DAIC,3
DAIC,2
DAIC,2.67
DAIC,1.67
DAIC,3
DAIC,0.33
SOMBRA,1.33
SOMBRA,1
SOMBRA,3
SOMBRA,1.67
SOMBRA,5.33
SOMBRA,2.33
SOMBRA,0.67
SOMBRA,1.33
SOMBRA,2
SOMBRA,1.67
SOMBRA,1.33
SOMBRA,3.33
SOMBRA,2
SOMBRA,2
SOMBRA,4
SOMBRA,5.33
SOL,2.33
SOL,0.33
SOL,0.33
SOL,0
SOL,1.67
SOL,0
SOL,1.67
SOL,2.67
SOL,0.33
SOL,2
SOL,0.67
SOL,0.33
SOL,2.67
SOL,0.33
